キー	機能名	関数名	機能番号	キーマクロ記録可/不可
-----	-----	-----	-----	-----
ダブルクリック	現在位置の単語選択	SelectWord	30400	○
右クリック	右クリックメニュー	RMenu	31580	×
中クリック	オートスクロール		30384	×
トリプルクリック	1行選択	SelectLine	30403	○
クアドラプルクリック	すべて選択	SelectAll	30401	○
ホイールアップ	ホイールアップ	WheelUp	30385	×
ホイールダウン	ホイールダウン	WheelDown	30386	×
ホイール左	ホイール左	WheelLeft	30387	×
ホイール右	ホイール右	WheelRight	30388	×
F1	外部HTMLヘルプ	ExtHtmlHelp	31451	×
F2	次のブックマークへ	BookmarkNext	30971	○
F3	次を検索	SearchNext	30902	○
F4	上下に分割／分割解除	SplitWinV	31310	×
F5	再描画	ReDraw	31360	○
F6	範囲選択開始	BeginSelect	30410	○
F7	切り取り	Cut	30601	○
F8	コピー	Copy	30602	○
F9	貼り付け	Paste	30604	○
F10	行の二重化(折り返し単位)	DuplicateLine	30250	○
F11	アウトライン解析...	Outline	30930	×
F12	タグジャンプ	TagJump	30940	○
Tab	TABインデント	IndentTab	30260	○
Esc	各種モードの取り消し	CancelMode	31099	○
BkSp	カーソル前を削除	DeleteBack	30222	○
Ins	挿入／上書きモード切り替え	ChgmodINS	31001	○
Del	削除	Delete	30221	○
Home	行頭に移動(折り返し単位)	GoLineTop	30332	○
End(Help)	行末に移動(折り返し単位)	GoLineEnd	30333	○
←	カーソル左移動	Left	30313	○
↑	カーソル上移動	Up	30311	○
→	カーソル右移動	Right	30314	○
↓	カーソル下移動	Down	30312	○
PgDn(RollUp)	１ページダウン	PageDown	30343	○
PgUp(RollDn)	１ページアップ	PageUp	30342	○
Space	SPACEインデント	IndentSpace	30262	○
アプリキー	右クリックメニュー	RMenu	31580	×
Shift+ダブルクリック	現在位置の単語選択	SelectWord	30400	○
Shift+右クリック	右クリックメニュー	RMenu	31580	×
Shift+トリプルクリック	1行選択	SelectLine	30403	○
Shift+クアドラプルクリック	すべて選択	SelectAll	30401	○
Shift+ホイールアップ	ホイールアップ	WheelUp	30385	×
Shift+ホイールダウン	ホイールダウン	WheelDown	30386	×
Shift+ホイール左	ホイール左	WheelLeft	30387	×
Shift+ホイール右	ホイール右	WheelRight	30388	×
Shift+F1	コマンド一覧	CommandList	31445	×
